slug,player_id,height_cm,weight_kg,service_return_games_ratio,service_return_points_ratio,group
tb69,dominic-thiem,185,79,3.6086956521739126,1.736842105263158,0
p338,mark-philippoussis,196,103,4.722222222222222,1.9142857142857146,1
s572,sjeng-schalken,193,82,3.04,1.5897435897435896,0
b428,alberto-berasategui,173,66,2.25,1.4047619047619047,0
m824,albert-montanes,175,70,3.409090909090909,1.6486486486486487,0
r772,albert-ramos-vinolas,188,76,3.3478260869565215,1.6756756756756757,0
g858,ernests-gulbis,191,85,4.2631578947368425,1.8571428571428574,1
l206,magnus-larsson,193,93,3.727272727272727,1.7567567567567568,0
g710,marcel-granollers,191,80,3.2173913043478257,1.6052631578947367,0
r397,olivier-rochus,168,65,3.0833333333333335,1.6052631578947367,0
p280,andrei-pavel,183,90,3.2083333333333335,1.631578947368421,0
sc77,sergiy-stakhovsky,193,80,4.333333333333334,1.8,1
s381,jan-siemerink,183,73,4.500000000000001,1.777777777777778,1
k237,karol-kucera,185,88,2.5172413793103448,1.4878048780487805,0
g374,gaston-gaudio,175,70,2.4333333333333336,1.4634146341463414,0
t742,janko-tipsarevic,180,80,3.8095238095238098,1.7297297297297298,0
pd31,benoit-paire,196,80,3.125,1.6052631578947367,0
z168,mischa-zverev,191,88,3.8,1.7222222222222223,0
m873,nicolas-mahut,191,82,4.764705882352941,1.8823529411764706,1
t315,dmitry-tursunov,185,82,3.95,1.75,0
me82,adrian-mannarino,180,79,3.4545454545454546,1.6756756756756757,0
m590,alberto-martin,175,73,2.692307692307692,1.5128205128205128,0
c433,guillermo-canas,185,86,2.75,1.575,0
e121,younes-el-aynaoui,193,86,4.05,1.777777777777778,0
h756,robin-haase,191,77,3.7142857142857144,1.75,0
mb02,florian-mayer,191,82,3.3043478260869565,1.6756756756756757,0
d801,alexandr-dolgopolov,180,71,3.5909090909090913,1.7297297297297298,0
a511,igor-andreev,185,80,3.7619047619047623,1.7297297297297298,0
c882,pablo-cuevas,180,78,3.7619047619047623,1.7297297297297298,0
i165,denis-istomin,188,85,4.444444444444445,1.8285714285714287,1
s015,javier-sanchez,178,70,2.96,1.564102564102564,0
b397,byron-black,175,70,2.846153846153846,1.564102564102564,0
m655,nicolas-massu,183,80,3.0,1.6052631578947367,0
z355,alexander-zverev,198,90,3.3750000000000004,1.7105263157894737,0
s331,jason-stoltenberg,185,80,2.9615384615384617,1.5897435897435896,0
c328,kenneth-carlsen,191,88,4.764705882352941,1.8571428571428574,1
ma30,gilles-muller,193,89,6.538461538461538,2.09375,1
n250,magnus-norman,188,89,3.0,1.6153846153846154,0
bd20,thomaz-bellucci,188,82,3.5,1.6756756756756757,0
g725,santiago-giraldo,188,75,3.666666666666667,1.7222222222222223,0
c179,carlos-costa,183,73,2.3548387096774195,1.4285714285714286,0
g569,robby-ginepri,183,79,3.391304347826087,1.7027027027027026,0
v037,alexander-volkov,188,79,2.923076923076923,1.564102564102564,0
m595,max-mirnyi,165,93,5.25,1.9705882352941175,1
k310,stefan-koubek,175,68,3.0,1.5789473684210527,0
h528,victor-hanescu,198,88,4.157894736842105,1.75,0
b896,benjamin-becker,178,72,4.647058823529411,1.8823529411764706,1
u032,bohdan-ulihrach,188,81,2.769230769230769,1.5384615384615383,0
sh90,joao-sousa,185,74,3.5714285714285716,1.6756756756756757,0
h223,paul-haarhuis,188,80,3.3478260869565215,1.631578947368421,0
w124,malivai-washington,180,79,3.076923076923077,1.641025641025641,0
s675,paradorn-srichaphan,185,82,3.8095238095238098,1.7297297297297298,0
y124,donald-young,183,79,3.4285714285714284,1.6216216216216215,0
ta46,bernard-tomic,196,91,4.764705882352941,1.8823529411764706,1
w035,mark-woodforde,188,88,3.2083333333333335,1.5897435897435896,0
w136,todd-woodbridge,178,75,2.846153846153846,1.4999999999999998,0
k926,mikhail-kukushkin,183,72,3.3636363636363638,1.6216216216216215,0
ba98,simone-bolelli,183,83,4.9375,1.8823529411764706,1
c524,guillermo-coria,175,69,2.142857142857143,1.3863636363636362,0
h940,ryan-harrison,185,84,4.388888888888889,1.852941176470588,1
r016,richey-reneberg,180,77,2.9615384615384617,1.5897435897435896,0
t136,jeff-tarango,180,73,2.96,1.5384615384615383,0
b053,arnaud-boetsch,183,76,2.9615384615384617,1.5897435897435896,0
g352,jan-michael-gambill,191,88,3.8571428571428577,1.777777777777778,0
g254,andrea-gaudenzi,183,84,2.6666666666666665,1.4749999999999999,0
a226,hicham-arazi,175,65,3.0833333333333335,1.6052631578947367,0
z073,mariano-zabaleta,183,77,3.0,1.564102564102564,0
c478,agustin-calleri,183,86,3.291666666666667,1.6153846153846154,0
v254,filippo-volandri,183,73,2.2333333333333334,1.4146341463414633,0
b678,michael-berrer,193,100,4.588235294117647,1.8,1
md56,leonardo-mayer,191,80,4.823529411764706,1.8571428571428574,1
f164,richard-fromberg,196,88,3.7142857142857144,1.7027027027027026,0
l428,michael-llodra,191,80,4.764705882352941,1.8571428571428574,1
cd85,pablo-carreno-busta,188,78,3.2500000000000004,1.6578947368421053,0
g681,teymuraz-gabashvili,188,83,3.6999999999999997,1.6944444444444444,0
a385,mario-ancic,196,82,3.818181818181818,1.783783783783784,0
f192,renzo-furlan,175,70,2.6666666666666665,1.4999999999999998,0
l987,dusan-lajovic,183,83,3.9,1.75,0
f444,alejandro-falla,185,77,3.2727272727272725,1.6216216216216215,0
j386,steve-johnson,188,86,4.941176470588235,2.0,1
d198,slava-dosedel,183,79,2.258064516129032,1.4047619047619047,0
s963,florent-serra,180,78,3.5238095238095237,1.6944444444444444,0
a389,jose-acasuso,191,86,3.391304347826087,1.6756756756756757,0
k966,martin-klizan,191,85,3.260869565217391,1.6486486486486487,0
m443,fernando-meligeni,180,64,2.7037037037037033,1.5384615384615383,0
n025,karel-novacek,191,82,3.291666666666667,1.6153846153846154,0
sf62,tim-smyczek,175,73,3.65,1.6666666666666667,0
r685,lukas-rosol,193,83,4.647058823529411,1.852941176470588,1
a596,pablo-andujar,180,80,2.8,1.5128205128205128,0
l575,yen-hsun-lu,180,74,4.0,1.7222222222222223,0
