1969-,51,,Atlanta,,,"Atlanta, United States",1969.09.12,1969,Outdoor,Hard
1969-423,52,,Los Angeles,423,los-angeles,Los Angeles,1969.09.20,1969,Outdoor,Hard
1969-,53,,Berkeley,,,"Berkeley, United States",1969.09.29,1969,Outdoor,Hard
1969-,54,,Tucson,,,"Tucson, United States",1969.10.03,1969,Outdoor,Hard
1969-,55,,Midland,,,"Midland, United States",1969.10.03,1969,Outdoor,Hard
1969-413,56,,Las Vegas,413,las-vegas,"Las Vegas, United States",1969.10.06,1969,Outdoor,Hard
1969-,57,,Cologne,,,"Cologne, Germany",1969.10.18,1969,Indoor,Carpet
1969-7302,58,,Paris Indoor,7302,paris,Paris,1969.11.07,1969,Indoor,Carpet
1969-303,59,,Buenos Aires,303,buenos-aires,Buenos Aires,1969.11.11,1969,Outdoor,Clay
1969-430,60,,Wembley,430,wembley,Wembley,1969.11.17,1969,Indoor,Carpet
1969-429,61,,Stockholm,429,stockholm,Stockholm,1969.11.23,1969,Indoor,Hard
1970-3936,1,,Melbourne,3936,melbourne,"Melbourne, Australia",1970.01.10,1970,Outdoor,Grass
1970-580,2,Grand Slam,Australian Open,580,australian-open,Sydney,1970.01.19,1970,Outdoor,Grass
1970-301,3,,Auckland,301,auckland,"Auckland, New Zealand",1970.01.27,1970,Outdoor,Grass
1970-2036,4,,Omaha,2036,omaha,"Omaha, United States",1970.01.28,1970,Indoor,Hard
1970-401,5,,Philadelphia,401,philadelphia,Philadelphia,1970.02.02,1970,Indoor,Carpet
1970-2058,6,,New York,2058,new-york,"New York, United States",1970.02.09,1970,Indoor,Carpet
1970-681,7,,Miami WCT,681,miami,Miami,1970.02.12,1970,Outdoor,Clay
1970-802,8,,Richmond,802,richmond-va,"Richmond, VA, United States",1970.02.13,1970,Indoor,Carpet
1970-355,9,,Salisbury,355,salisbury,"Salisbury, United States",1970.02.15,1970,Indoor,Hard
1970-6816,10,,Corpus Christi WCT,6816,chorpus-christi,"Chorpus Christi, United States",1970.02.20,1970,Outdoor,Hard
1970-2066,11,,Macon,2066,macon,"Macon, United States",1970.02.25,1970,Indoor,Carpet
1970-6811,12,,Los Angeles WCT,6811,los-angeles,"Los Angeles, United States",1970.02.25,1970,Indoor,Carpet
1970-657,13,,Hampton,657,hampton,"Hampton, United States",1970.03.02,1970,Indoor,Carpet
1970-6812,14,,London Indoor,6812,wembley,"Wembley, Great Britain",1970.03.04,1970,Indoor,Carpet
1970-9205,15,,WCT Aetna World Cup,9205,camrbidge,"Camrbidge, United States",1970.03.09,1970,Indoor,Clay
1970-344,16,,Caracas,344,caracas,"Caracas, Venezuela",1970.03.09,1970,Outdoor,Hard
1970-3941,17,,Sydney,3941,sydney,"Sydney, Australia",1970.03.16,1970,Outdoor,Grass
