slug,player_id,first_serve_perc,first_serve_points_won_perc,second_serve_points_won_perc,first_serve_return_points_won_perc,second_serve_return_points_won_perc,break_points_saved_perc,break_points_converted_perc,service_games_won_perc,service_points_won_perc,return_games_won_perc,return_points_won_perc
ca12,jeremy-chardy,60,74,50,27,48,63,37,81,65,19,35
m680,xavier-malisse,57,73,51,30,50,60,41,78,64,24,38
l290,nicolas-lapentti,60,70,48,30,50,59,39,75,62,24,38
m475,andrei-medvedev,57,71,49,32,52,60,42,76,62,28,41
f339,mardy-fish,54,77,52,29,49,62,40,82,65,22,37
b028,boris-becker,57,79,50,29,51,66,40,86,67,24,38
gb88,david-goffin,58,72,51,31,53,60,41,78,63,28,40
s351,michael-stich,57,78,52,31,50,66,40,85,67,24,38
sa49,robin-soderling,61,76,52,30,51,63,43,84,66,24,38
tb69,dominic-thiem,60,74,53,30,50,63,39,83,66,23,38
p338,mark-philippoussis,58,80,50,27,48,64,36,85,67,18,35
s572,sjeng-schalken,62,69,50,30,51,60,41,76,62,25,39
b428,alberto-berasategui,74,63,49,34,56,58,44,72,59,32,42
r772,albert-ramos-vinolas,62,68,52,29,50,61,40,77,62,23,37
m824,albert-montanes,60,69,49,29,50,58,39,75,61,22,37
g858,ernests-gulbis,60,75,49,28,48,64,37,81,65,19,35
l206,magnus-larsson,64,73,51,28,50,63,39,82,65,22,37
g710,marcel-granollers,61,69,49,30,49,57,40,74,61,23,38
r397,olivier-rochus,61,66,51,29,53,59,41,74,61,24,38
p280,andrei-pavel,65,69,50,29,51,59,41,77,62,24,38
sc77,sergiy-stakhovsky,62,71,49,27,47,61,36,78,63,18,35
k237,karol-kucera,55,71,48,33,52,56,43,73,61,29,41
s381,jan-siemerink,56,75,51,28,48,65,36,81,64,18,36
g374,gaston-gaudio,62,67,50,33,53,58,42,73,60,30,41
pd31,benoit-paire,52,75,46,31,49,60,40,75,61,24,38
t742,janko-tipsarevic,56,74,52,27,50,61,40,80,64,21,37
z168,mischa-zverev,64,69,49,29,47,60,38,76,62,20,36
t315,dmitry-tursunov,57,73,50,27,49,63,40,79,63,20,36
m873,nicolas-mahut,61,73,50,27,46,62,38,81,64,17,34
me82,adrian-mannarino,61,69,51,29,50,59,42,76,62,22,37
m590,alberto-martin,61,65,49,31,51,57,42,70,59,26,39
c433,guillermo-canas,58,71,51,33,51,60,42,77,63,28,40
e121,younes-el-aynaoui,62,73,50,29,48,63,37,81,64,20,36
h756,robin-haase,59,72,49,28,48,60,39,78,63,21,36
mb02,florian-mayer,62,69,50,29,50,58,41,76,62,23,37
d801,alexandr-dolgopolov,55,75,51,29,49,60,40,79,64,22,37
a511,igor-andreev,62,70,52,30,48,60,39,79,64,21,37
c882,pablo-cuevas,60,72,52,29,48,61,40,79,64,21,37
i165,denis-istomin,65,71,51,27,48,62,38,80,64,18,35
s015,javier-sanchez,66,67,49,32,50,58,40,74,61,25,39
b397,byron-black,60,68,50,28,55,59,41,74,61,26,39
m655,nicolas-massu,59,69,50,31,50,61,42,75,61,25,38
z355,alexander-zverev,64,74,50,30,51,60,42,81,65,24,38
s331,jason-stoltenberg,57,73,48,31,51,60,41,77,62,26,39
c328,kenneth-carlsen,58,75,50,27,47,64,37,81,65,17,35
ma30,gilles-muller,61,78,50,24,45,67,34,85,67,13,32
n250,magnus-norman,58,72,50,30,51,61,41,78,63,26,39
bd20,thomaz-bellucci,58,70,51,29,50,59,39,77,62,22,37
g725,santiago-giraldo,64,68,51,28,49,60,39,77,62,21,36
c179,carlos-costa,55,69,49,32,55,57,44,73,60,31,42
g569,robby-ginepri,62,69,52,28,51,58,40,78,63,23,37
k310,stefan-koubek,60,66,51,30,50,58,41,72,60,24,38
m595,max-mirnyi,63,76,51,27,45,64,36,84,67,16,34
v037,alexander-volkov,53,72,49,29,52,61,43,76,61,26,39
h528,victor-hanescu,69,69,51,28,48,62,38,79,63,19,36
sh90,joao-sousa,61,70,49,29,48,59,38,75,62,21,37
b896,benjamin-becker,57,75,50,26,47,59,37,79,64,17,34
u032,bohdan-ulihrach,57,68,49,30,53,58,42,72,60,26,39
h223,paul-haarhuis,60,70,50,29,50,61,42,77,62,23,38
s675,paradorn-srichaphan,57,73,52,28,49,59,40,80,64,21,37
w124,malivai-washington,59,72,52,30,51,61,42,80,64,26,39
y124,donald-young,60,67,49,28,49,58,38,72,60,21,37
ta46,bernard-tomic,66,71,50,25,48,64,36,81,64,17,34
w035,mark-woodforde,58,71,49,30,51,62,39,77,62,24,39
k926,mikhail-kukushkin,61,66,51,28,51,60,40,74,60,22,37
w136,todd-woodbridge,59,69,47,30,53,58,42,74,60,26,40
c524,guillermo-coria,63,68,50,36,54,59,46,75,61,35,44
ba98,simone-bolelli,66,69,53,26,46,61,37,79,64,16,34
h940,ryan-harrison,59,72,50,27,46,63,38,79,63,18,34
r016,richey-reneberg,56,71,51,30,53,59,41,77,62,26,39
t136,jeff-tarango,61,68,49,29,52,60,41,74,60,25,39
b053,arnaud-boetsch,57,71,50,30,52,60,41,77,62,26,39
c478,agustin-calleri,55,74,50,31,51,60,40,79,63,24,39
a226,hicham-arazi,57,69,50,29,51,59,40,74,61,24,38
g254,andrea-gaudenzi,62,67,48,31,52,57,41,72,59,27,40
z073,mariano-zabaleta,58,69,50,32,49,59,39,75,61,25,39
g352,jan-michael-gambill,56,76,49,27,49,64,40,81,64,21,36
b678,michael-berrer,64,71,48,27,46,61,37,78,63,17,35
f164,richard-fromberg,59,74,48,29,48,61,39,78,63,21,37
v254,filippo-volandri,68,62,48,33,52,55,44,67,58,30,41
md56,leonardo-mayer,61,73,52,27,48,62,37,82,65,17,35
l428,michael-llodra,62,73,51,27,47,62,36,81,65,17,35
cd85,pablo-carreno-busta,64,69,52,29,52,61,42,78,63,24,38
g681,teymuraz-gabashvili,57,70,48,27,49,60,38,74,61,20,36
a385,mario-ancic,61,76,52,30,49,62,40,84,66,22,37
f192,renzo-furlan,59,67,49,32,51,57,42,72,60,27,40
l987,dusan-lajovic,66,68,52,28,49,60,40,78,63,20,36
f444,alejandro-falla,59,67,49,29,50,57,41,72,60,22,37
d198,slava-dosedel,65,64,49,34,54,57,43,70,59,31,42
j386,steve-johnson,59,75,52,26,46,66,36,84,66,17,33
a389,jose-acasuso,54,72,51,29,51,60,39,78,62,23,37
s963,florent-serra,61,67,50,28,49,60,40,74,61,21,36
k966,martin-klizan,58,69,49,29,51,61,42,75,61,23,37
m443,fernando-meligeni,57,69,49,31,51,58,42,73,60,27,39
n025,karel-novacek,57,73,50,30,51,62,40,79,63,24,39
r685,lukas-rosol,58,72,50,26,46,63,36,79,63,17,34
sf62,tim-smyczek,61,66,50,28,49,59,38,73,60,20,36
a596,pablo-andujar,63,65,49,31,52,57,40,70,59,25,39
sm25,jack-sock,58,74,53,27,48,63,39,82,65,19,35
l575,yen-hsun-lu,61,70,50,27,50,59,38,76,62,19,36
r613,edouard-roger-vasselin,65,69,50,28,48,59,37,77,62,20,36
d874,federico-delbonis,60,70,51,29,50,61,39,77,62,21,37
r186,guillaume-raoux,53,73,51,26,50,60,39,78,63,20,36
sl28,jan-lennard-struff,56,77,50,27,48,61,38,81,65,19,35
d646,ivan-dodig,59,72,49,29,49,60,41,78,63,21,37
h442,jan-hernych,66,64,49,30,50,59,41,72,59,23,38
sm37,diego-schwartzman,62,66,51,33,55,56,43,73,60,31,42
s843,potito-starace,72,66,51,29,48,61,40,76,62,21,36
w123,david-wheaton,60,74,48,28,52,63,40,79,63,23,38
bh09,aljaz-bedene,57,74,49,28,49,59,38,78,63,20,36
p273,david-prinosil,51,75,47,28,50,60,39,75,61,22,37
v141,daniel-vacek,58,74,48,26,48,60,37,78,63,18,35
be90,ricardas-berankis,56,70,51,26,49,59,37,77,62,19,36
d362,taylor-dent,57,75,49,29,49,60,41,80,64,22,37
v195,fernando-vicente,60,66,49,32,51,58,41,70,59,26,39
f035,guy-forget,58,78,52,28,49,64,38,84,67,20,36
l018,ivan-lendl,56,76,52,31,53,63,42,82,66,28,40
pd07,vasek-pospisil,58,76,51,26,45,63,36,83,65,15,33
g676,daniel-gimeno-traver,59,69,49,29,48,58,37,74,61,19,36
b884,carlos-berlocq,64,66,48,31,50,57,41,71,60,25,39
s480,davide-sanguinetti,56,70,48,30,49,58,39,73,60,23,38
h996,pierre-hugues-herbert,59,74,51,26,46,63,37,82,64,16,33
mm58,daniil-medvedev,59,74,52,29,53,62,40,81,65,25,38
p045,gianluca-pozzi,48,72,49,30,50,57,40,72,60,23,38
e140,nicolas-escude,56,73,50,31,50,60,41,78,63,25,39
k540,lukasz-kubot,62,69,48,29,49,58,40,74,61,22,37
d632,steve-darcis,61,69,50,28,49,59,40,76,62,20,36
kb09,denis-kudla,58,69,50,27,48,58,40,75,61,19,35
d214,martin-damm,56,75,49,26,48,59,36,79,64,18,35
h025,jakob-hlasek,59,74,49,29,50,60,40,79,64,22,37
l797,lukas-lacko,59,71,50,25,47,58,37,76,62,17,34
s545,sargis-sargsian,61,68,49,30,50,58,41,74,61,23,38
bc72,daniel-brands,66,73,51,24,45,62,32,82,65,12,32
c031,andrei-chesnokov,58,65,48,33,53,57,44,69,58,31,41
pf39,lucas-pouille,56,73,51,27,48,63,39,81,64,19,35
s321,brett-steven,65,69,50,30,51,61,41,77,62,24,39
k839,tobias-kamke,59,66,49,29,52,57,40,71,59,24,38
g252,marc-kevin-goellner,52,79,48,27,48,61,39,80,64,19,35
r548,rajeev-ram,61,73,49,25,44,59,36,79,63,15,33
bc65,matthias-bachinger,59,72,47,28,48,61,34,76,62,18,35
cg80,borna-coric,62,72,53,27,50,61,38,81,65,20,36
p305,albert-portas,57,68,46,29,52,56,41,70,59,25,39
d923,damir-dzumhur,64,65,50,32,50,57,43,71,60,27,39
ke17,nick-kyrgios,65,77,53,24,47,67,39,88,69,16,33
s568,franco-squillari,57,68,47,32,52,59,41,72,59,27,40
r368,michael-russell,66,65,48,29,50,53,40,70,59,22,37
e690,matthew-ebden,61,71,45,28,47,57,39,73,61,19,35
sc56,dudi-sela,60,67,50,30,51,57,40,72,60,24,38
be54,ruben-bemelmans,64,70,50,26,47,62,37,78,63,16,34
s014,emilio-sanchez,65,68,51,32,49,59,40,76,62,24,38
ba65,dustin-brown,61,74,49,26,45,64,37,81,64,16,33
g436,marc-gicquel,57,72,50,28,48,61,39,78,63,20,36
a203,karim-alami,56,71,48,31,49,58,39,74,61,23,38
g319,jerome-golmard,59,71,51,27,50,60,40,78,63,21,37
c216,tomas-carbonell,67,65,44,34,53,56,44,68,58,30,41
k023,aaron-krickstein,59,69,51,31,54,60,42,75,61,28,40
l503,paolo-lorenzi,59,69,49,28,48,58,38,74,61,20,36
bg23,nikoloz-basilashvili,60,68,50,29,50,59,38,74,60,22,37
ca99,marius-copil,57,75,52,25,44,62,34,82,65,13,32
pc11,guido-pella,65,69,52,28,51,63,37,78,63,21,37
me89,illya-marchenko,58,71,47,29,49,59,40,75,61,21,36
r336,christophe-rochus,61,64,47,29,52,54,39,66,57,24,38
g967,peter-gojowczyk,55,74,48,27,49,59,39,78,63,19,36
te51,stefanos-tsitsipas,61,76,53,28,48,64,38,85,67,19,35
d499,frank-dancevic,60,73,50,25,45,61,33,79,64,15,33
s403,jonathan-stark,59,76,49,28,47,61,37,82,65,18,36
b842,alex-bogomolov-jr.,69,65,48,28,51,58,41,72,60,23,38
f165,marcelo-filippini,66,64,50,33,51,58,39,70,59,27,40
k190,bernd-karbacher,54,71,48,30,51,59,40,73,60,24,38
kb54,andrey-kuznetsov,58,71,50,29,50,59,37,76,62,21,37
se73,yuichi-sugita,61,68,49,26,49,60,38,75,61,19,36
a829,radu-albot,64,65,50,29,51,57,37,72,60,22,37
p436,bjorn-phau,53,68,49,29,49,56,41,70,59,22,37
me05,marinko-matosevic,60,68,48,28,50,59,39,73,60,21,37
ke29,karen-khachanov,61,74,51,28,50,63,41,82,65,21,36
k760,evgeny-korolev,58,71,47,28,49,59,41,74,61,22,37
g806,andrey-golubev,59,68,50,28,46,59,40,74,61,19,35
v166,adrian-voinea,57,69,49,29,50,56,41,73,61,23,38
v708,jiri-vesely,64,72,51,27,48,63,37,80,64,19,35
g016,brad-gilbert,56,72,48,33,50,61,43,76,62,27,40
c582,marco-chiudinelli,60,70,50,26,48,60,38,77,62,17,34
e831,kyle-edmund,60,73,52,27,50,63,39,81,65,21,36
k403,igor-kunitsyn,60,65,50,28,51,56,39,69,59,22,37
m048,patrick-mcenroe,61,67,49,29,55,61,42,73,60,27,40
z184,horacio-zeballos,62,71,51,24,45,62,37,79,63,15,32
p624,philipp-petzschner,55,74,50,28,47,59,38,78,63,19,36
a202,wayne-arthurs,56,81,55,23,40,67,30,88,69,10,30
re44,andrey-rublev,60,72,49,29,53,61,38,78,63,24,39
b518,galo-blanco,55,69,49,28,50,59,39,72,60,22,37
a034,jordi-arrese,72,62,48,34,54,56,44,68,58,32,42
k181,nicklas-kulti,57,72,48,28,50,59,38,76,62,22,37
p372,mariano-puerta,65,69,51,29,49,60,42,77,63,22,37
k771,marsel-ilhan,62,69,49,25,46,57,37,75,61,16,33
f041,javier-frana,62,73,51,29,51,64,40,81,65,22,38
l311,hyung-taik-lee,63,68,52,29,49,58,37,76,62,21,37
c260,andrei-cherkasov,60,66,49,29,54,58,42,71,59,26,40
d616,somdev-devvarman,60,67,50,28,50,59,40,73,60,23,37
r383,ruben-ramirez-hidalgo,57,67,46,29,49,57,43,69,58,23,37
j397,jerzy-janowicz,62,75,49,27,46,64,36,82,65,17,34
j267,malek-jaziri,54,71,49,26,48,62,37,75,60,18,35
c723,flavio-cipolla,69,59,45,32,50,55,41,61,55,26,39
h390,luis-horna,67,70,50,28,48,60,39,79,63,19,36
d750,kenny-de-schepper,67,72,49,24,43,66,29,81,64,10,31
m012,amos-mansdorf,58,70,52,29,51,61,41,78,62,25,39
d864,evgeny-donskoy,59,70,51,25,46,62,35,77,62,15,34
y017,jaime-yzaga,60,66,50,32,52,58,43,72,60,28,40
d776,thiemo-de-bakker,60,73,50,26,46,62,38,79,63,16,34
s315,gilbert-schaller,76,61,49,33,54,55,43,68,58,31,42
e106,jacco-eltingh,62,73,48,25,47,62,36,80,64,16,34
kb05,filip-krajinovic,64,68,51,29,51,60,40,75,62,24,38
g354,justin-gimelstob,58,72,47,28,48,59,38,76,61,19,36
m030,wally-masur,66,70,53,28,49,61,39,81,64,21,37
w212,chris-woodruff,60,72,48,29,52,61,38,78,62,24,38
d015,olivier-delaitre,54,70,49,29,49,58,40,73,60,23,37
sf36,igor-sijsling,59,73,49,27,47,58,39,78,63,18,35
g247,hernan-gumy,62,67,49,31,52,57,43,73,60,27,40
mh30,john-millman,62,68,53,28,50,59,42,77,63,23,37
fb98,taylor-fritz,59,75,50,25,49,62,35,81,65,18,35
f586,thomas-fabbiano,65,65,49,27,51,56,37,71,60,21,37
t166,mikael-tillstrom,59,69,49,29,52,59,40,74,61,24,38
da81,taro-daniel,63,66,49,27,49,60,39,71,59,21,36
d270,scott-draper,56,72,51,27,48,61,38,78,63,18,35
r612,stephane-robert,53,69,47,28,51,56,40,69,58,22,37
f724,marton-fucsovics,56,70,50,31,51,61,39,76,61,26,39
o098,marcos-ondruska,58,66,46,32,51,58,45,70,58,27,40
n732,yoshihito-nishioka,65,64,54,28,54,59,41,72,60,25,38
sg87,ryan-sweeting,63,67,47,27,51,60,42,71,59,22,36
d424,rik-de-voest,60,68,49,27,47,60,38,74,60,18,35
p235,stefano-pescosolido,52,71,48,29,49,56,40,72,60,23,37
pb22,peter-polansky,58,68,49,26,47,59,36,72,60,17,34
i230,tatsuma-ito,58,68,49,26,48,54,36,72,60,17,35
v309,kristof-vliegen,61,69,50,29,48,56,40,75,62,20,36
s080,carl-uwe-steeb,59,67,51,30,50,58,42,74,60,24,38
sc47,go-soeda,56,67,48,27,47,54,36,70,59,17,35
s443,sandon-stolle,58,74,45,29,49,58,39,77,62,22,37
ch27,hyeon-chung,62,70,50,30,52,58,43,77,63,26,39
d249,hendrik-dreekmann,50,74,48,27,51,61,38,75,61,22,37
k834,blaz-kavcic,63,66,46,30,50,55,42,68,58,23,38
m338,shuzo-matsuoka,61,74,51,27,48,63,39,82,65,19,35
sc73,rogerio-dutra-silva,61,67,49,29,46,56,36,70,60,19,36
o009,andrei-olhovskiy,56,75,48,28,49,60,36,78,63,19,36
e687,daniel-evans,61,70,51,30,50,61,41,77,63,24,38
r219,christian-ruud,59,65,48,31,53,55,41,68,58,28,40
b040,christian-bergstrom,65,65,50,32,52,58,44,73,60,29,40
cf01,marco-cecchinato,66,68,49,26,47,56,36,75,62,17,34
d272,antony-dupuis,59,72,51,26,47,63,35,79,64,16,34
h191,henrik-holm,51,78,45,31,48,61,39,77,62,22,38
o234,wayne-odesnik,62,67,50,27,51,60,39,73,60,22,37
s693,raemon-sluiter,59,73,51,27,47,61,38,79,64,18,35
bf23,facundo-bagnis,61,67,49,28,47,58,34,72,60,17,35
b429,jordi-burillo,53,72,46,31,50,56,43,72,60,25,38
b484,lars-burgsmuller,59,68,48,29,50,57,40,72,60,22,38
d316,ramon-delgado,59,68,49,27,49,57,39,74,60,20,36
l799,jesse-levine,60,67,48,28,49,62,41,73,60,20,36
g717,fred-gil,64,65,50,30,49,58,41,72,59,22,38
c009,omar-camporese,51,74,49,30,49,61,43,76,62,22,37
s406,grant-stafford,60,68,45,31,54,57,42,70,59,28,40
i052,andrew-ilie,54,69,50,28,49,60,36,74,60,21,37
me31,vincent-millot,59,66,47,28,49,60,42,69,59,23,37
s380,bryan-shelton,58,75,49,26,49,64,35,81,64,16,35
v250,andreas-vinciguerra,59,70,50,29,50,64,43,76,61,23,38
o099,alex-o'brien,63,69,50,26,50,60,38,76,62,20,36
r043,derrick-rostagno,61,71,48,30,51,60,39,77,62,24,38
s677,david-sanchez,61,65,47,33,52,57,42,68,58,28,40
m708,ricardo-mello,63,65,51,27,50,57,40,71,60,20,37
h472,oscar-hernandez,65,64,48,28,49,57,37,70,59,20,36
d228,filip-dewulf,55,71,47,28,51,60,43,75,61,23,37
g039,jim-grabb,66,72,46,28,48,61,36,79,63,19,36
p701,michal-przysiezny,58,71,48,25,45,61,38,76,62,15,33
b503,george-bastl,65,67,47,27,49,58,35,72,60,20,37
g333,paul-goldstein,62,65,48,31,52,59,43,70,59,27,40
c634,paul-capdeville,61,67,48,30,49,54,41,71,59,23,37
b804,karol-beck,54,72,46,29,48,57,37,72,60,20,37
mb53,adrian-menendez-maceiras,61,67,48,25,47,55,37,71,59,15,33
z189,grega-zemlja,59,71,49,28,47,62,38,76,62,19,35
dc58,jared-donaldson,52,74,51,26,49,57,40,77,63,21,36
m915,daniel-munoz-de-la-nava,57,67,48,29,48,60,34,70,59,20,36
s055,horst-skoff,59,66,49,32,51,57,41,71,59,27,39
k737,alex-kuznetsov,59,71,47,24,46,53,34,73,61,14,33
ba86,andreas-beck,59,69,52,27,48,61,36,78,62,18,35
s101,jonas-svensson,65,66,49,32,52,60,43,73,60,28,40
su55,denis-shapovalov,58,76,52,28,47,64,37,83,66,18,35
r483,bobby-reynolds,59,70,49,25,46,59,32,75,61,15,33
td51,frances-tiafoe,63,71,52,26,49,59,37,79,64,18,35
l226,sebastien-lareau,60,71,45,27,51,61,39,75,61,21,37
n309,ivan-navarro,61,73,49,27,44,62,37,80,64,15,33
l949,henri-laaksonen,59,70,48,29,49,59,41,74,61,22,37
f580,martin-fischer,58,63,51,29,47,54,38,68,58,22,36
s681,cyril-saulnier,56,73,51,26,48,60,37,79,64,17,35
k358,kevin-kim,58,70,46,28,48,54,38,71,60,20,36
cf59,roberto-carballes-baena,62,68,49,30,50,59,44,74,61,24,38
a199,chuck-adams,64,69,51,28,48,60,36,79,63,19,36
j006,anders-jarryd,54,72,50,31,51,56,42,75,62,26,39
w503,james-ward,60,71,49,25,47,60,33,76,62,14,33
g585,maximo-gonzalez,65,63,48,30,50,60,38,68,57,23,38
m578,juan-antonio-marin,57,64,48,31,51,56,44,65,57,26,39
g621,chris-guccione,60,79,52,21,40,68,28,86,68,9,29
dh58,alex-de-minaur,61,71,54,29,51,62,39,81,64,23,38
bk40,matteo-berrettini,61,77,53,27,47,66,35,86,68,17,34
r280,lionel-roux,57,69,49,28,48,58,42,74,60,21,36
v207,jiri-vanek,59,69,45,28,49,59,41,71,59,21,36
r750,pere-riba,55,67,47,27,48,55,40,68,58,18,35
h804,andreas-haider-maurer,56,72,47,26,45,60,37,75,61,17,34
e698,gastao-elias,52,69,50,31,46,57,41,71,60,22,37
g940,sam-groth,61,78,51,23,41,64,32,85,67,10,30
r782,julian-reister,70,66,47,30,48,60,33,72,60,19,37
sg64,joao-souza,63,70,49,28,45,54,36,74,62,17,35
k448,robert-kendrick,58,74,47,25,46,61,33,78,63,14,33
f811,bjorn-fratangelo,56,68,51,25,50,58,41,74,61,20,35
kd46,thanasi-kokkinakis,59,75,49,24,48,65,38,81,64,15,33
z254,jurgen-zopp,60,70,49,27,46,59,33,77,61,16,34
m035,luiz-mattar,58,69,51,29,48,61,39,76,62,21,37
g511,simon-greul,56,68,50,27,48,58,38,73,60,19,35
p190,guillermo-perez-roldan,68,63,50,36,53,58,47,72,59,33,42
ma41,ivo-minar,59,69,50,29,47,56,42,74,61,20,35
k319,michel-kratochvil,56,70,48,31,51,59,42,73,60,25,39
j084,lars-jonsson,66,62,49,30,51,57,42,68,58,26,39
j194,joachim-johansson,62,79,53,22,47,69,35,89,69,14,32
n210,daniel-nestor,59,75,47,24,48,62,37,81,64,17,34
be67,mirza-basic,58,69,51,26,46,62,40,77,62,18,34
s876,flavio-saretta,59,67,48,34,51,59,43,71,59,28,41
ta29,marco-trungelliti,58,65,49,31,49,60,40,70,59,23,38
k296,jan-kroslak,61,69,44,28,51,60,38,72,59,22,37
