slug,player_id,height_cm,weight_kg,first_serve_perc,first_serve_points_won_perc,second_serve_points_won_perc,first_serve_return_points_won_perc,second_serve_return_points_won_perc,break_points_saved_perc,break_points_converted_perc,service_games_won_perc,service_points_won_perc,return_games_won_perc,return_points_won_perc
s544,vincent-spadea,183,77,58,68,51,30,52,60,42,74,61,25,39
g182,magnus-gustafsson,185,78,65,68,50,34,52,60,43,76,62,30,41
b747,julien-benneteau,185,79,64,69,49,29,50,59,39,76,62,22,37
t840,viktor-troicki,193,86,61,72,47,30,49,60,41,77,63,23,38
m535,felix-mantilla,180,78,62,67,51,31,54,59,45,75,61,29,40
ca12,jeremy-chardy,188,75,60,74,50,27,48,63,37,81,65,19,35
m680,xavier-malisse,185,83,57,73,51,30,50,60,41,78,64,24,38
l290,nicolas-lapentti,188,86,60,70,48,30,50,59,39,75,62,24,38
m475,andrei-medvedev,193,91,57,71,49,32,52,60,42,76,62,28,41
f339,mardy-fish,188,82,54,77,52,29,49,62,40,82,65,22,37
b028,boris-becker,191,85,57,79,50,29,51,66,40,86,67,24,38
s351,michael-stich,193,79,57,78,52,31,50,66,40,85,67,24,38
gb88,david-goffin,180,70,58,72,51,31,53,60,41,78,63,28,40
sa49,robin-soderling,193,87,61,76,52,30,51,63,43,84,66,24,38
tb69,dominic-thiem,185,79,60,74,53,30,50,63,39,83,66,23,38
p338,mark-philippoussis,196,103,58,80,50,27,48,64,36,85,67,18,35
s572,sjeng-schalken,193,82,62,69,50,30,51,60,41,76,62,25,39
b428,alberto-berasategui,173,66,74,63,49,34,56,58,44,72,59,32,42
m824,albert-montanes,175,70,60,69,49,29,50,58,39,75,61,22,37
r772,albert-ramos-vinolas,188,76,62,68,52,29,50,61,40,77,62,23,37
g858,ernests-gulbis,191,85,60,75,49,28,48,64,37,81,65,19,35
l206,magnus-larsson,193,93,64,73,51,28,50,63,39,82,65,22,37
g710,marcel-granollers,191,80,61,69,49,30,49,57,40,74,61,23,38
r397,olivier-rochus,168,65,61,66,51,29,53,59,41,74,61,24,38
p280,andrei-pavel,183,90,65,69,50,29,51,59,41,77,62,24,38
sc77,sergiy-stakhovsky,193,80,62,71,49,27,47,61,36,78,63,18,35
s381,jan-siemerink,183,73,56,75,51,28,48,65,36,81,64,18,36
k237,karol-kucera,185,88,55,71,48,33,52,56,43,73,61,29,41
g374,gaston-gaudio,175,70,62,67,50,33,53,58,42,73,60,30,41
t742,janko-tipsarevic,180,80,56,74,52,27,50,61,40,80,64,21,37
pd31,benoit-paire,196,80,52,75,46,31,49,60,40,75,61,24,38
z168,mischa-zverev,191,88,64,69,49,29,47,60,38,76,62,20,36
