slug,player_id,height_cm,weight_kg,first_serve_perc,first_serve_points_won_perc,second_serve_points_won_perc,first_serve_return_points_won_perc,second_serve_return_points_won_perc,break_points_saved_perc,break_points_converted_perc,service_games_won_perc,service_points_won_perc,return_games_won_perc,return_points_won_perc
mb53,adrian-menendez-maceiras,183,75,61,67,48,25,47,55,37,71,59,15,33
k737,alex-kuznetsov,183,78,59,71,47,24,46,53,34,73,61,14,33
g333,paul-goldstein,178,72,62,65,48,31,52,59,43,70,59,27,40
s055,horst-skoff,175,73,59,66,49,32,51,57,41,71,59,27,39
m915,daniel-munoz-de-la-nava,175,75,57,67,48,29,48,60,34,70,59,20,36
b804,karol-beck,180,74,54,72,46,29,48,57,37,72,60,20,37
c634,paul-capdeville,191,78,61,67,48,30,49,54,41,71,59,23,37
su55,denis-shapovalov,185,75,58,76,52,28,47,64,37,83,66,18,35
s101,jonas-svensson,188,76,65,66,49,32,52,60,43,73,60,28,40
ba86,andreas-beck,191,89,59,69,52,27,48,61,36,78,62,18,35
r483,bobby-reynolds,183,77,59,70,49,25,46,59,32,75,61,15,33
l226,sebastien-lareau,183,79,60,71,45,27,51,61,39,75,61,21,37
td51,frances-tiafoe,188,86,63,71,52,26,49,59,37,79,64,18,35
n309,ivan-navarro,183,86,61,73,49,27,44,62,37,80,64,15,33
f580,martin-fischer,180,71,58,63,51,29,47,54,38,68,58,22,36
l949,henri-laaksonen,185,78,59,70,48,29,49,59,41,74,61,22,37
cf59,roberto-carballes-baena,183,77,62,68,49,30,50,59,44,74,61,24,38
k358,kevin-kim,180,75,58,70,46,28,48,54,38,71,60,20,36
a199,chuck-adams,185,81,64,69,51,28,48,60,36,79,63,19,36
s681,cyril-saulnier,191,84,56,73,51,26,48,60,37,79,64,17,35
m578,juan-antonio-marin,175,73,57,64,48,31,51,56,44,65,57,26,39
j006,anders-jarryd,180,70,54,72,50,31,51,56,42,75,62,26,39
g585,maximo-gonzalez,175,75,65,63,48,30,50,60,38,68,57,23,38
w503,james-ward,188,78,60,71,49,25,47,60,33,76,62,14,33
dh58,alex-de-minaur,183,69,61,71,54,29,51,62,39,81,64,23,38
g621,chris-guccione,201,92,60,79,52,21,40,68,28,86,68,9,29
r280,lionel-roux,185,79,57,69,49,28,48,58,42,74,60,21,36
bk40,matteo-berrettini,196,95,61,77,53,27,47,66,35,86,68,17,34
v207,jiri-vanek,185,86,59,69,45,28,49,59,41,71,59,21,36
r750,pere-riba,183,78,55,67,47,27,48,55,40,68,58,18,35
e698,gastao-elias,183,76,52,69,50,31,46,57,41,71,60,22,37
h804,andreas-haider-maurer,191,89,56,72,47,26,45,60,37,75,61,17,34
g940,sam-groth,193,100,61,78,51,23,41,64,32,85,67,10,30
r782,julian-reister,188,87,70,66,47,30,48,60,33,72,60,19,37
k448,robert-kendrick,191,86,58,74,47,25,46,61,33,78,63,14,33
f811,bjorn-fratangelo,183,79,56,68,51,25,50,58,41,74,61,20,35
sg64,joao-souza,193,92,63,70,49,28,45,54,36,74,62,17,35
z254,jurgen-zopp,191,88,60,70,49,27,46,59,33,77,61,16,34
m035,luiz-mattar,183,76,58,69,51,29,48,61,39,76,62,21,37
kd46,thanasi-kokkinakis,193,84,59,75,49,24,48,65,38,81,64,15,33
j084,lars-jonsson,188,70,66,62,49,30,51,57,42,68,58,26,39
g511,simon-greul,185,80,56,68,50,27,48,58,38,73,60,19,35
k319,michel-kratochvil,185,77,56,70,48,31,51,59,42,73,60,25,39
ma41,ivo-minar,183,85,59,69,50,29,47,56,42,74,61,20,35
p190,guillermo-perez-roldan,178,78,68,63,50,36,53,58,47,72,59,33,42
j194,joachim-johansson,198,90,62,79,53,22,47,69,35,89,69,14,32
be67,mirza-basic,188,88,58,69,51,26,46,62,40,77,62,18,34
n210,daniel-nestor,191,86,59,75,47,24,48,62,37,81,64,17,34
c361,alex-calatrava,191,82,59,71,49,28,48,60,40,76,62,21,36
sk94,cedrik-marcel-stebe,183,70,61,65,48,31,50,56,38,68,58,23,38
ta29,marco-trungelliti,178,78,58,65,49,31,49,60,40,70,59,23,38
a006,ronald-agenor,180,82,64,65,48,30,51,57,40,70,59,24,38
s876,flavio-saretta,183,70,59,67,48,34,51,59,43,71,59,28,41
mj08,thiago-monteiro,183,78,64,70,51,25,47,60,39,78,63,18,34
l515,peter-luczak,183,77,62,68,50,25,47,61,36,75,61,16,33
k296,jan-kroslak,188,77,61,69,44,28,51,60,38,72,59,22,37
n771,cameron-norrie,188,82,65,69,49,28,49,62,40,78,62,21,36
n109,diego-nargiso,188,82,54,73,46,30,48,60,40,75,60,21,37
v251,santiago-ventura,183,78,54,68,47,31,48,56,44,68,58,24,38
g108,rodolphe-gilbert,183,73,52,70,49,28,49,59,37,73,60,21,37
b305,karsten-braasch,180,73,55,74,46,29,48,62,36,77,62,20,37
sj55,john-patrick-smith,188,84,64,68,50,26,44,56,40,76,62,15,33
l336,harel-levy,185,82,58,69,47,28,49,59,40,72,60,21,36
e224,victor-estrella-burgos,170,77,65,67,50,24,47,59,40,74,61,17,33
t195,michael-tebbutt,191,82,53,78,46,28,49,61,38,79,63,20,36
c270,cristiano-caratti,178,77,64,64,48,29,51,55,39,69,58,23,38
rh16,casper-ruud,183,77,66,71,52,27,49,63,42,81,64,22,35
p050,goran-prpic,180,75,71,64,48,34,53,55,44,71,59,31,42
g512,denis-gremelmayr,183,73,57,66,49,28,46,59,38,70,59,19,35
kc04,jozef-kovalik,183,82,60,68,50,27,47,60,37,75,61,18,35
d357,arnaud-di-pasquale,185,80,63,65,48,32,50,55,43,70,59,27,39
se66,eduardo-schwank,183,83,63,67,51,27,49,58,37,75,61,18,36
b599,julien-boutter,191,86,55,74,49,28,46,62,39,78,63,19,35
k596,alexander-kudryavtsev,183,79,52,73,51,26,45,54,37,78,63,14,33
p467,alexander-peya,183,83,61,69,47,29,46,59,35,73,60,18,36
k776,konstantin-kravchuk,191,80,62,72,47,24,43,61,35,75,62,14,32
w373,jimmy-wang,180,73,62,65,50,29,50,60,40,71,59,23,37
d994,james-duckworth,183,82,56,73,50,24,45,64,36,79,63,14,32
v564,antonio-veic,180,74,62,65,46,33,49,50,48,66,57,27,39
m047,john-mcenroe,180,75,57,75,50,32,51,62,42,81,64,27,39
v201,john-van-lottum,185,72,54,70,49,28,50,59,42,72,60,21,37
m372,alberto-mancini,180,79,63,67,51,30,51,60,42,74,61,23,38
h571,jan-hajek,180,80,63,64,47,27,50,56,36,67,58,19,36
s604,andre-sa,185,79,59,65,48,30,51,55,40,67,58,24,39
sf76,franko-skugor,196,95,59,68,45,30,46,58,37,71,59,21,37
m408,jamie-morgan,185,80,57,75,49,27,48,59,33,80,64,18,35
o076,jaime-oncins,196,82,56,68,44,34,53,56,41,68,58,29,42
y218,elias-ymer,183,79,59,68,47,26,46,58,33,71,59,15,34
m759,wesley-moodie,196,91,69,74,51,24,44,63,33,84,67,12,31
db63,laslo-djere,188,82,60,70,50,29,48,60,35,76,62,19,36
l014,henri-leconte,185,79,50,74,50,31,50,61,40,77,62,23,38
g983,alessandro-giannessi,185,82,66,65,47,30,50,63,37,71,59,22,38
z045,markus-zoecke,196,86,64,72,50,24,46,62,35,80,64,15,33
ba57,ilija-bozoljac,193,86,55,78,49,24,46,64,37,81,65,13,32
j551,nicolas-jarry,198,90,63,72,52,25,46,64,38,82,65,16,33
k030,patrik-kuhnen,191,82,55,74,46,27,50,59,40,76,61,20,36
mi43,gerald-melzer,188,80,64,67,49,26,51,59,38,73,61,21,36
f031,jean-philippe-fleurian,185,79,60,67,49,30,49,60,42,73,60,23,37
gb93,norbert-gombos,193,85,62,71,43,27,47,62,30,75,61,16,35
d438,amer-delic,196,93,60,72,50,25,44,65,34,80,63,14,32
ca33,inigo-cervantes,183,78,51,71,48,27,48,54,41,72,60,20,35
d006,franco-davin,173,64,70,61,46,35,53,54,46,65,56,33,42
c028,thierry-champion,183,70,72,61,50,32,51,53,42,68,58,26,39
o522,reilly-opelka,211,102,63,80,55,21,41,69,28,91,71,10,28
o376,renzo-olivo,180,73,59,67,47,31,49,58,38,69,59,22,38
l386,jean-rene-lisnard,173,68,52,66,47,32,51,56,40,65,57,25,39
p233,jared-palmer,191,84,61,70,49,28,50,62,41,77,62,21,37
m614,cecil-mamiit,173,70,58,66,48,30,49,56,38,69,59,23,38
h364,markus-hipfl,178,74,64,65,49,31,51,54,42,69,59,27,39
ka98,bradley-klahn,183,75,61,71,50,25,43,59,35,76,62,12,31
bk92,alexander-bublik,198,77,58,75,44,28,46,58,38,77,62,18,35
bc11,sergei-bubka,188,88,60,74,46,24,48,48,38,75,63,15,34
p642,boris-pashanski,180,74,59,66,47,27,47,57,39,70,58,19,35
gd64,cristian-garin,185,85,61,70,50,29,50,61,40,76,62,23,37
v232,martin-verkerk,196,90,59,76,50,27,47,63,39,83,65,16,35
ra17,guillaume-rufin,188,82,54,70,49,27,49,61,39,74,61,20,36
b021,jeremy-bates,180,73,56,70,46,27,50,57,39,73,60,21,36
r203,david-rikl,178,68,57,66,47,29,49,59,41,69,58,23,37
c856,victor-crivoi,185,75,64,64,48,28,47,56,31,68,58,18,36
ag37,felix-auger-aliassime,193,88,65,74,49,29,48,65,38,81,65,19,36
b499,wayne-black,170,70,58,64,51,28,53,57,42,70,59,24,39
g892,alejandro-gonzalez,191,83,60,66,48,27,49,55,38,68,58,19,36
a622,andrea-arnaboldi,180,72,57,66,50,27,46,61,31,71,59,17,34
b293,patrick-baur,185,186,56,70,50,29,48,61,36,75,61,20,37
o264,josselin-ouanna,193,91,58,74,49,22,46,56,31,77,63,10,31
mn13,maximilian-marterer,191,84,63,70,53,25,44,60,35,79,64,14,32
w023,mats-wilander,183,77,65,66,46,30,52,57,43,71,59,25,39
p491,kristian-pless,188,84,61,70,51,26,47,60,39,77,62,18,35
p488,olivier-patience,180,75,63,66,49,27,48,58,37,72,59,20,36
lb84,juan-ignacio-londero,180,70,60,70,56,28,50,63,38,80,65,21,36
